143;Uzbekistan;25 981 647;447 400;58
144;Wallis i Futuna;15 734;274;57
145;Irak;24 683 313;437 072;56
146;Irlandia;3 924 140;70 280;56
147;Meksyk;109 955 400;1 972 550;56
148;Litwa;3 592 561;65 200;55
149;Norfolk;1 853;34;54
150;Kenia;31 639 091;582 650;54
151;Senegal;10 580 307;196 190;54
152;Wybrze¿e Koœci S³oniowej;16 962 491;322 460;53
153;Czarnogóra;720 872;13 812;52
154;Bia³oruœ;10 322 151;207 600;50
155;Bonaire;14 006;294;49
156;Ekwador;13 710 234;283 560;48
157;Burkina Faso;13 228 460;274 200;48
158;Tad¿ykistan;6 863 752;143 100;48
159;Fid¿i;868 531;18 270;48
160;Bhutan;2 139 549;47 000;46
161;Turks i Caicos;19 350;430;45
162;Wyspy Kokosowe;630;14;45
163;Afganistan;28 717 213;647 500;44
164;Palau;19 717;458;43
165;Iran;68 278 826;1 648 000;41
166;Nikaragua;5 128 517;129 494;40
167;Tanzania;35 922 454;948 087;38
168;Panama;2 960 784;78 200;38
169;Gwinea Bissau;1 360 827;36 120;38
170;Gwinea;9 030 220;245 857;37
171;Jemen;19 349 881;527 970;37
172;Kolumbia;41 662 073;1 138 910;37
173;£otwa;2 348 784;64 589;36
174;Erytrea;4 362 254;121 320;36
175;Republika Po³udniowej Afryki;42 768 678;1 219 912;35
176;Wyspy Owcze;46 345;1 399;33
177;Kamerun;15 746 179;475 440;33
178;Zimbabwe;12 576 742;390 580;32
179;Stany Zjednoczone;305 548 000;9 631 420;32
180;Estonia;1 408 556;45 226;31
181;Zjednoczone Emiraty Arabskie;2 484 818;82 880;30
182;Liberia;3 317 176;111 370;30
183;Madagaskar;16 979 744;587 040;29
184;Saint-Pierre i Miquelon;6 976;242;29
185;Wenezuela;24 654 694;912 050;27
186;Laos;5 921 545;236 800;25
187;Kirgistan;4 892 808;198 500;25
188;Demokratyczna Republika Konga;56 625 039;2 345 410;24
189;Peru;28 409 897;1 285 220;22
190;Mozambik;17 479 266;801 590;22
191;Brazylia;182 032 604;8 511 965;21
192;Bahamy;297 477;13 940;21
193;D¿ibuti;457 130;22 000;21
194;Chile;15 665 216;756 950;21
195;Szwecja;8 878 085;449 964;20
196;Urugwaj;3 413 329;176 220;19
197;Gwinea Równikowa;510 473;28 051;18
198;Œwiêta Helena;7 367;410;18
199;Wyspy Salomona;509 190;28 450;18
200;Vanuatu;199 414;12 200;16
201;Finlandia;5 190 785;337 030;15
202;Sudan;38 114 160;2 505 810;15
203;Paragwaj;6 036 900;406 750;15
204;Nowa Zelandia;3 951 307;268 680;15
205;Norwegia;4 546 123;324 220;14
206;Argentyna;38 740 807;2 766 890;14
207;Algieria;32 818 500;2 381 740;14
208;Zambia;10 307 333;752 614;14
209;Oman;2 807 125;212 460;13
210;Somalia;8 025 190;637 657;13
211;Arabia Saudyjska;24 293 844;1 960 582;12
212;Belize;266 440;22 966;12
213;Papua-Nowa Gwinea;5 295 816;462 840;11
214;Nowa Kaledonia;210 798;19 060;11
215;Turkmenistan;4 775 544;488 100;9,8
216;Mali;11 626 219;1 240 000;9,4
217;Niger;11 058 590;1 267 000;8,7
218;Angola;10 766 471;1 246 700;8,6
219;Kongo;2 954 258;342 000;8,6
220;Rosja;144 526 278;17 075 200;8,5
221;Niue;2 145;260;8,2
222;Boliwia;8 586 443;1 098 580;7,8
223;Czad;9 253 493;1 284 000;7,2
224;Kazachstan;16 763 795;2 727 300;6,1
225;Republika Œrodkowoafrykañska;3 683 538;622 984;5,9
226;Gabon;1 321 560;267 667;4,9
